Epoch,CNN Train Loss,CNN Valid Loss
1,1.3482647041479747,1.3047833442687988
2,1.2793002997835476,1.2549903392791748
3,1.2294197256366413,1.206105351448059
4,1.1764029388626416,1.149143099784851
5,1.1229487930734952,1.0992034673690796
6,1.0726445366938908,1.0511687994003296
7,1.0293712342778842,1.0054585933685303
8,0.9914420880377293,0.9803367257118225
9,0.9578986403842767,0.9359921813011169
10,0.9275738957027594,0.9183235168457031
11,0.9006485727926096,0.8956182599067688
12,0.8770993786553541,0.8635213971138
13,0.8563247087101141,0.8459639549255371
14,0.8378219082951546,0.8282471895217896
15,0.8206749806801478,0.8024375438690186
16,0.806091363231341,0.8012516498565674
17,0.7944340805212656,0.7964122295379639
18,0.7836087246735891,0.7901736497879028
19,0.7740429528057575,0.7741139531135559
20,0.7655116878449917,0.7650504112243652
21,0.7572728805243969,0.7352917194366455
22,0.7507462998231252,0.7464731931686401
23,0.7444869242608547,0.7499639391899109
24,0.73998170470198,0.7402553558349609
25,0.7338817541797956,0.7389754056930542
26,0.7299853091438612,0.7245756387710571
27,0.7255143957833449,0.7282512187957764
28,0.7211723451813062,0.713975191116333
29,0.717423123617967,0.7191190123558044
30,0.712884034961462,0.7243098020553589
31,0.708174541592598,0.695868730545044
32,0.7046215037504832,0.698617696762085
33,0.7009314683576425,0.7020919322967529
34,0.6965156570076942,0.7069589495658875
35,0.6925425181786219,0.6803635954856873
36,0.6880027763545513,0.6924404501914978
37,0.6842213657995065,0.6756698489189148
38,0.6809807593623797,0.688050389289856
39,0.6769611438115438,0.6735514998435974
40,0.6737138306101164,0.6725049018859863
41,0.6708310830096403,0.689292311668396
42,0.6677117981016636,0.665073812007904
43,0.664978007475535,0.65707927942276
44,0.66110435500741,0.6649560332298279
45,0.658712932219108,0.6587304472923279
46,0.6569744311273098,0.6672224998474121
47,0.6544497994085153,0.64079749584198
48,0.6524980217218399,0.644980251789093
49,0.650027435272932,0.6517794728279114
50,0.6481741294264793,0.6521108150482178
51,0.6454994082450867,0.6446096897125244
52,0.6449917381008466,0.6460066437721252
53,0.6430937014520168,0.6352764368057251
54,0.641511840124925,0.6434980630874634
55,0.6397852227091789,0.6381703615188599
56,0.6378565194706122,0.639030396938324
57,0.6378565666576227,0.6138246059417725
58,0.6367882216970125,0.650692880153656
59,0.6347251571714878,0.6514453887939453
60,0.6338434827824434,0.6437674760818481
61,0.6327371969819069,0.6340650320053101
62,0.6315360652903715,0.615973174571991
63,0.6301518778006235,0.6359241008758545
64,0.6298774480819702,0.6111387610435486
65,0.627967119216919,0.621641218662262
66,0.6267701461911201,0.6274809837341309
67,0.6263029053807259,0.6099867224693298
68,0.6252446373303732,0.6196640133857727
69,0.6250893771648407,0.6231974363327026
70,0.6237930456797282,0.621982216835022
71,0.6234579806526502,0.6253374218940735
72,0.622226939847072,0.6142140626907349
73,0.621156374613444,0.630142867565155
74,0.6214970089495182,0.618782103061676
75,0.6216489846507708,0.6123601198196411
76,0.6205164057513078,0.6115273237228394
77,0.6199545462926229,0.6128572225570679
78,0.6180347974101702,0.6032366752624512
79,0.6188706544538339,0.6231207251548767
80,0.6185680267711481,0.6176113486289978
81,0.6178091019392014,0.633600115776062
82,0.6172453202307224,0.6096001267433167
83,0.6166507167120775,0.6156258583068848
84,0.6167868264019489,0.6338987350463867
85,0.6143194089333216,0.6074846386909485
86,0.6157776340842247,0.6049203872680664
87,0.6147439479827881,0.6225011944770813
88,0.6147407988707224,0.6139190793037415
89,0.6134598751862844,0.5999535918235779
90,0.6136110114554564,0.6170772910118103
91,0.612515871723493,0.602351188659668
92,0.6129784683386484,0.6096461415290833
93,0.6110927897195021,0.6176100373268127
94,0.6118117359777292,0.6136370301246643
95,0.6109126632412275,0.5987992286682129
96,0.6104067576428255,0.6061988472938538
97,0.6100453188021978,0.6099111437797546
98,0.6103112163643042,0.6080927848815918
99,0.610417190939188,0.6180835962295532
100,0.6091024056077003,0.6203497648239136
101,0.6088382117450237,0.6185588240623474
102,0.6083645212153593,0.5998095870018005
103,0.6086917072534561,0.6093257665634155
104,0.6079326818386713,0.615768313407898
105,0.6073830475409826,0.6125335693359375
106,0.6076028371850649,0.6045928001403809
107,0.6080233628551165,0.6079515814781189
108,0.606754674265782,0.6012922525405884
109,0.6065412039558092,0.6032662987709045
110,0.6053746442000071,0.6072944402694702
111,0.6058649010956287,0.6021766662597656
112,0.6054438402255377,0.6050200462341309
