Epoch,RNN Train Loss,RNN Valid Loss
1,1.3864636222521465,1.3862981796264648
2,1.3862677936752636,1.3862823247909546
3,1.385810633500417,1.3846725225448608
4,1.3670895124475162,1.3106803894042969
5,1.1578861723343532,1.1014344692230225
6,1.0964316874742508,1.0864843130111694
7,1.092307907839616,1.0832445621490479
8,1.0899125710129738,1.0829659700393677
9,1.087725192308426,1.0957372188568115
10,1.085977738102277,1.0805927515029907
11,1.08305328587691,1.0563431978225708
12,1.0800753359993298,1.0770752429962158
13,1.0767849162220955,1.071380376815796
14,1.0724017297228177,1.0785534381866455
15,1.0657592838009198,1.0738160610198975
16,1.05582145601511,1.053043007850647
17,1.0433129742741585,1.036778211593628
18,1.0223450201253097,1.0067287683486938
19,0.9949062143762907,0.9791350364685059
20,0.958177330593268,0.9335787296295166
21,0.9152136916915575,0.9044119119644165
22,0.882272527863582,0.8706793189048767
23,0.8665710426867008,0.8685827851295471
24,0.8584443802634875,0.8506495356559753
25,0.8533849939703941,0.8448174595832825
26,0.849660558005174,0.8408512473106384
27,0.845487809429566,0.8475066423416138
28,0.8427536226809025,0.8520258665084839
29,0.8393025460342566,0.8347411155700684
30,0.836686585098505,0.8439257740974426
31,0.8334139510989189,0.833791971206665
32,0.8316095930834612,0.8338184356689453
33,0.8291335875789324,0.8238990306854248
34,0.8265863594909509,0.8187540173530579
35,0.8249533399939537,0.8259678483009338
36,0.8228655122220516,0.8198604583740234
37,0.8215529471635818,0.8232914805412292
38,0.8194583083192507,0.8085116147994995
39,0.8169149619837602,0.8197611570358276
40,0.8160202118257681,0.8196180462837219
41,0.8140366971492767,0.8144044280052185
42,0.8126158267259598,0.8177124261856079
43,0.8103821029265722,0.8094143271446228
44,0.8091554927329222,0.7932870388031006
45,0.8074391248325506,0.8210522532463074
46,0.8060924187302589,0.8026763200759888
47,0.804162704696258,0.8047605752944946
48,0.8031206627686819,0.8052941560745239
49,0.8020897830526034,0.8088718056678772
50,0.8003970322509607,0.7953868508338928
51,0.7988106744984785,0.8051996827125549
52,0.7974115672210852,0.7891806364059448
53,0.796802680939436,0.8088629245758057
54,0.7943667011956373,0.7905945777893066
55,0.7931604857246081,0.7922940254211426
56,0.7916049857934316,0.8020873069763184
57,0.7901373207569122,0.7810074687004089
58,0.7883348949253559,0.7848590016365051
59,0.7873262812693914,0.7863211035728455
60,0.7852842298646768,0.7990004420280457
61,0.7839642378191153,0.7771714925765991
62,0.7825645618140697,0.7775458693504333
63,0.7816571940978368,0.7702535390853882
64,0.7797185468177,0.7734456062316895
65,0.7780443194011847,0.7706330418586731
66,0.7767003352443377,0.7616371512413025
67,0.7766455623010794,0.7653946876525879
68,0.7749551087617874,0.7730823755264282
69,0.7738132054607073,0.7818170189857483
70,0.7734228211144606,0.780349850654602
71,0.7719499630232652,0.7696731686592102
72,0.7716660983860493,0.7620378732681274
73,0.7695890826483568,0.7680330276489258
74,0.7689389648536841,0.7638956308364868
75,0.7681950206557909,0.7733426094055176
76,0.7674413497249285,0.7546691298484802
77,0.7673201262950897,0.7671854496002197
78,0.7655812663336595,0.7719214558601379
79,0.7651733296612898,0.7517952919006348
80,0.7639893367886543,0.7666130065917969
81,0.7634234863022963,0.7623745203018188
82,0.7627480526765188,0.7498704195022583
83,0.7620242039362589,0.7625707387924194
84,0.760510458300511,0.765389084815979
85,0.7609308386842409,0.7608102560043335
