Epoch,DNN Train Loss,DNN Valid Loss
1,1.351800302664439,1.2325652837753296
2,1.048438809812069,0.9519650340080261
3,0.9156991789738337,0.8902211785316467
4,0.8828309352199236,0.8671966791152954
5,0.8712113040188948,0.8633410334587097
6,0.862929742783308,0.8566865921020508
7,0.8540476436416308,0.8530388474464417
8,0.8412059955298901,0.8368724584579468
9,0.8260325839122137,0.8174794912338257
10,0.8034614734351635,0.7866631746292114
11,0.7756492011249065,0.7591701149940491
12,0.7580290250480175,0.7550225853919983
13,0.743675209581852,0.7457495927810669
14,0.7336764993766943,0.7121558785438538
15,0.7244134619832039,0.7138127684593201
16,0.7150874497989813,0.7074670195579529
17,0.7058363196750482,0.6989614963531494
18,0.7011106796562672,0.6942259073257446
19,0.6936956122517586,0.681199312210083
20,0.6886876622835795,0.6777999401092529
21,0.6821345786253611,0.7041704654693604
22,0.6763532819847266,0.6846193075180054
23,0.6715473433335623,0.6725541949272156
24,0.665948943545421,0.6517085433006287
25,0.6606185026466846,0.6413661241531372
26,0.6568799602488676,0.6514171361923218
27,0.6521056679387888,0.6445814967155457
28,0.6469012511273226,0.6463932394981384
29,0.642746914178133,0.6369325518608093
30,0.6390418261289597,0.6249819993972778
31,0.635133276383082,0.6251978874206543
32,0.632941409945488,0.6306672096252441
33,0.6288231300810972,0.6249207258224487
34,0.6272636353969574,0.6463783383369446
35,0.6245131567120552,0.623881459236145
36,0.622113129744927,0.6207448840141296
37,0.6201243586838245,0.6133742928504944
38,0.6175746284425259,0.6044982075691223
39,0.6147114957372347,0.6149352788925171
40,0.6130309924483299,0.6124942898750305
41,0.6111344024538994,0.6092361807823181
42,0.6078270276387533,0.601020872592926
43,0.6080457294980685,0.6000121235847473
44,0.6054158819218477,0.5968381762504578
45,0.6042004724343618,0.5895330905914307
46,0.6026336687306563,0.6209248900413513
47,0.6003628112375736,0.5875311493873596
48,0.6003069654107094,0.5872201919555664
49,0.5984206274151802,0.6001070141792297
50,0.5971339518825213,0.5959674119949341
51,0.5962897377709547,0.5951346755027771
52,0.5950915875534216,0.6082122921943665
53,0.5933417665461699,0.5778506398200989
54,0.5913093487421671,0.6091666221618652
55,0.5913956599930922,0.5802672505378723
56,0.5907322665055593,0.5921882390975952
57,0.588434192041556,0.5866003632545471
58,0.5875143744051456,0.5936208367347717
59,0.5853129935761293,0.5843151807785034
60,0.5864550024271011,0.5787280201911926
61,0.5856034941971302,0.588266134262085
62,0.5845537992815176,0.5716382265090942
63,0.5832695749898752,0.5749412775039673
64,0.5833338325222334,0.5814785361289978
65,0.5821741409599781,0.5755729675292969
66,0.5805330661435922,0.5770862102508545
